"","Estimate","Std..Error","t.value","p.z"
"(Intercept)",0.0354785304223928,0.190599821558515,0.186141467144557,0.852333824049964
"design$Target.Maneuver",0.404887217402849,0.205683725535209,1.96849418372452,0.0490112046770155
"design$Target.Quantity",0.649010948792942,0.226233120778783,2.8687707023569,0.0041207041158533
"design$Launch.Range",0.802603398539715,0.287684012536463,2.78987835112313,0.00527278488922267
"design$Approach.Angle",0.594513994616888,0.250543868992988,2.37289380501075,0.0176493375042146
"design$Ship.Maneuver",0.877519060057856,0.314130262212091,2.79348781578192,0.00521429933061812
"design$Target.Maneuver:design$Target.Quantity",0.54253967753445,0.395798540895377,1.37074703789234,0.170453826062004
"design$Target.Maneuver:design$Launch.Range",0.000410588463449352,0.590887817165484,0.000694867031476404,0.99944557636839
"design$Target.Maneuver:design$Approach.Angle",0.234793696244354,0.449482264820877,0.522364761906505,0.601416385954056
"design$Target.Quantity:design$Launch.Range",0.382055435329593,0.63524172936933,0.601433151611276,0.547551523606826
"design$Target.Quantity:design$Ship.Maneuver",0.602498089341212,0.481438712497401,1.25145334951531,0.210769123553926
