"","Estimate","Std..Error","t.value","p.z","Power","RunsPerSim"
"(Intercept)",0.0321593131620265,0.222618905514379,0.144459039036778,0.885137999236565,0.64,100
"design$Target.Maneuver",0.377705251852373,0.36977383250317,1.02144937973439,0.307041580350648,0.86,100
"design$Target.Quantity",0.779368273404811,0.407461667559501,1.91274010650585,0.0557813320534146,0.81,100
"design$Launch.Range",1.24099318079166,0.503444960150565,2.46500268951052,0.0137012223109532,0.74,100
"design$Approach.Angle",0.534805917761596,0.446332371944718,1.19822345717697,0.230830035733186,0.73,100
"design$Ship.Maneuver",1.05093723114447,0.559235908739592,1.87923775051046,0.0602120371798143,0.62,100
"design$Target.Maneuver:design$Target.Quantity",0.0751342547273871,0.713633338198813,0.10528411539324,0.916150366998314,0.39,100
"design$Target.Maneuver:design$Launch.Range",-0.182320688223549,1.06160260178384,-0.171740996034855,0.863641154449314,0.4,100
"design$Target.Maneuver:design$Approach.Angle",0.747015469158716,0.80881529482767,0.923592164905683,0.355698694701198,0.45,100
"design$Target.Quantity:design$Launch.Range",0.281847573674006,1.14663133957506,0.245804875504675,0.805833282732142,0.34,100
"design$Target.Quantity:design$Ship.Maneuver",1.27331766931038,0.85812840986353,1.48383115472529,0.137853719719699,0.44,100
