"","Target.Maneuver","Target.Quantity","Launch.Range","Approach.Angle","Ship.Maneuver","day","wholeplot_error","subplot_error"
"2","Radial",3,2500,0,"No",1,0.310205277030664,0.536284282765155
"4","Radial",9,2500,45,"No",2,0.310205277030664,-1.70959629843632
"5","Radial",9,5000,45,"No",2,0.310205277030664,1.01872680772141
"6","Radial",3,2500,45,"No",2,0.310205277030664,-0.176583202341756
"7","Radial",9,7500,0,"No",2,0.310205277030664,0.788121276844118
"8","Weave",9,5000,45,"No",1,0.310205277030664,2.42266357140654
"9","Weave",9,2500,45,"No",1,0.310205277030664,0.513990232989754
"10","Weave",3,2500,45,"No",1,0.310205277030664,-1.00130816106874
"11","Radial",3,5000,0,"No",1,0.61593872151783,-0.896091482989224
"13","Weave",9,2500,0,"No",2,0.61593872151783,-0.0908668076197699
"14","Weave",3,5000,0,"No",2,0.61593872151783,-0.644400692795196
"17","Radial",9,7500,0,"No",1,0.61593872151783,1.46800953484466
"18","Weave",3,2500,0,"No",2,0.61593872151783,-0.456081473056474
"20","Radial",3,7500,45,"No",2,0.61593872151783,0.139840463527172
"21","Weave",9,7500,45,"No",2,0.61593872151783,0.584823051537538
"23","Radial",9,5000,45,"No",2,0.61593872151783,0.247573440694888
"24","Weave",3,2500,45,"No",1,0.61593872151783,-0.656832089543094
"25","Weave",9,5000,0,"No",1,0.61593872151783,0.858180002895137
"26","Weave",3,5000,45,"No",2,0.61593872151783,-1.13577195887187
"27","Radial",3,5000,45,"No",2,0.61593872151783,-1.12388526578139
"1","Weave",3,7500,0,"Yes",2,0.61593872151783,-0.5661018159296
"3","Radial",3,5000,0,"Yes",2,0.61593872151783,-0.517708947207779
"12","Radial",3,2500,0,"Yes",2,0.61593872151783,-0.0209355609391333
"15","Weave",3,7500,0,"Yes",2,0.61593872151783,-0.238373937217783
"16","Radial",9,5000,0,"Yes",2,0.61593872151783,0.385583665743992
"19","Weave",9,5000,0,"Yes",2,0.61593872151783,1.39459921186125
"22","Radial",9,2500,0,"Yes",2,0.61593872151783,-1.14033460624671
"28","Weave",9,2500,0,"Yes",2,0.61593872151783,0.337262640793165
"29","Weave",3,7500,0,"Yes",2,0.61593872151783,0.081645976640446
