"","Target.Maneuver","Target.Quantity","Launch.Range","Approach.Angle","Ship.Maneuver","day","wholeplot_error","subplot_error"
"2","Radial",3,2500,0,"No",1,-0.446911812638903,-1.63965552309648
"4","Radial",9,2500,45,"No",1,-0.446911812638903,-2.63112343101293
"5","Radial",9,5000,45,"No",1,-0.446911812638903,-0.528354959023262
"6","Radial",3,2500,45,"No",1,-0.446911812638903,-0.42853203667795
"7","Radial",9,7500,0,"No",2,-0.446911812638903,1.35499038681364
"8","Weave",9,5000,45,"No",1,-0.446911812638903,-0.191294350544242
"9","Weave",9,2500,45,"No",1,-0.446911812638903,0.8607249777264
"10","Weave",3,2500,45,"No",1,-0.446911812638903,0.0870738257262665
"11","Radial",3,5000,0,"No",2,-0.481616018522592,0.571405454154646
"13","Weave",9,2500,0,"No",1,-0.481616018522592,-1.2305239800536
"14","Weave",3,5000,0,"No",2,-0.481616018522592,-1.31497649219899
"17","Radial",9,7500,0,"No",1,-0.481616018522592,0.00453606126132393
"18","Weave",3,2500,0,"No",1,-0.481616018522592,-1.08632218664026
"20","Radial",3,7500,45,"No",1,-0.481616018522592,1.25485550493633
"21","Weave",9,7500,45,"No",1,-0.481616018522592,-0.378140676149699
"23","Radial",9,5000,45,"No",1,-0.481616018522592,-1.32282121556515
"24","Weave",3,2500,45,"No",1,-0.481616018522592,-0.613469556974841
"25","Weave",9,5000,0,"No",1,-0.481616018522592,-2.07460122778374
"26","Weave",3,5000,45,"No",1,-0.481616018522592,2.33749020423949
"27","Radial",3,5000,45,"No",1,-0.481616018522592,-0.742874937943341
"1","Weave",3,7500,0,"Yes",2,-0.481616018522592,2.02460563305736
"3","Radial",3,5000,0,"Yes",2,-0.481616018522592,1.13153919400105
"12","Radial",3,2500,0,"Yes",2,-0.481616018522592,0.969777859643692
"15","Weave",3,7500,0,"Yes",2,-0.481616018522592,0.524848987249368
"16","Radial",9,5000,0,"Yes",2,-0.481616018522592,0.91821874669431
"19","Weave",9,5000,0,"Yes",2,-0.481616018522592,0.771113841416135
"22","Radial",9,2500,0,"Yes",2,-0.481616018522592,-0.997632935424647
"28","Weave",9,2500,0,"Yes",2,-0.481616018522592,0.00576416316819015
"29","Weave",3,7500,0,"Yes",2,-0.481616018522592,0.272598380781922
